agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,rNINO_ds_acc,2_NINO_ds_acc,3_NINO_ds_acc,2_NIFO_ds_acc,3_NIFO_ds_acc,2_rNINO_ds_acc,3_rNINO_ds_acc,NIs,NI_acc
MTL0s1,MTL0s1,MTL0,1,0.3000000119209289,0.975,0.6974999904632568,0.975,1.0,1.0,0.975,0.975,1.0,1.0,1.0,1.0,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 33]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 25]
 [ 46]
 [ 36]
 [ 53]
 [ 36]
 [ 33]
 [ 36]
 [ 53]
 [ 36]
 [ 46]
 [ 67]
 [ 83]
 [ 67]
 [ 67]
 [ 67]
 [ 67]
 [ 67]
 [ 91]
 [ 67]
 [ 74]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]]",1.0
MTL0s1,MTL0s2,MTL0,2,0.625,0.975,0.6962499618530273,0.95,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 20]
 [ 19]
 [ 48]
 [ 42]
 [ 48]
 [ 36]
 [ 36]
 [ 53]
 [ 42]
 [ 44]
 [ 42]
 [ 46]
 [ 89]
 [ 88]
 [ 82]
 [ 89]
 [ 89]
 [ 63]
 [ 82]
 [ 82]
 [ 89]
 [ 78]
 [103]
 [ 97]
 [ 97]
 [117]
 [ 99]
 [102]
 [ 97]
 [ 99]
 [ 99]
 [ 99]]",0.975
MTL0s1,MTL0s3,MTL0,3,0.5,0.95,0.7162500023841858,0.925,1.0,0.925,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 67]
 [ 79]
 [ 66]
 [ 87]
 [ 70]
 [ 66]
 [ 89]
 [ 70]
 [ 70]
 [ 89]
 [109]
 [109]
 [109]
 [109]
 [102]
 [102]
 [102]
 [109]
 [102]
 [102]]",0.975
MTL0s1,MTL0s4,MTL0,4,0.675000011920929,0.95,0.7124999761581421,0.975,1.0,0.975,0.925,0.95,1.0,1.0,0.925,0.95,"[[ 19]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 10]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 53]
 [ 53]
 [ 53]
 [ 40]
 [ 57]
 [ 42]
 [ 25]
 [ 53]
 [ 42]
 [ 53]
 [ 71]
 [ 88]
 [ 62]
 [ 71]
 [ 71]
 [ 62]
 [ 91]
 [ 62]
 [ 88]
 [ 71]
 [ 92]
 [ 97]
 [ 92]
 [103]
 [ 92]
 [ 97]
 [ 92]
 [ 92]
 [ 92]
 [ 97]]",0.875
MTL0s1,MTL0.2s0,MTL0.2,0,0.925000011920929,0.925,0.6912499666213989,0.9,1.0,0.925,0.95,0.975,1.0,1.0,0.975,0.975,"[[ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 36]
 [ 36]
 [ 25]
 [ 42]
 [ 36]
 [ 47]
 [ 36]
 [ 44]
 [ 42]
 [ 44]
 [ 89]
 [ 79]
 [ 62]
 [ 84]
 [ 84]
 [ 67]
 [ 89]
 [ 66]
 [ 82]
 [ 89]
 [ 97]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]]",0.95
MTL0s1,MTL0.2s1,MTL0.2,1,0.949999988079071,0.95,0.7087500095367432,0.975,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 46]
 [ 36]
 [ 41]
 [ 36]
 [ 27]
 [ 27]
 [ 54]
 [ 36]
 [ 46]
 [ 74]
 [ 67]
 [ 67]
 [ 74]
 [ 67]
 [ 67]
 [ 67]
 [ 62]
 [ 74]
 [ 67]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [102]
 [109]
 [109]
 [114]]",1.0
MTL0s1,MTL0.2s2,MTL0.2,2,0.875,0.975,0.6974999904632568,0.975,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 19]
 [  1]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 25]
 [ 41]
 [ 25]
 [ 50]
 [ 42]
 [ 29]
 [ 48]
 [ 41]
 [ 25]
 [ 41]
 [ 91]
 [ 61]
 [ 82]
 [ 89]
 [ 89]
 [ 67]
 [ 82]
 [ 70]
 [ 89]
 [ 82]
 [103]
 [117]
 [102]
 [102]
 [102]
 [102]
 [ 97]
 [ 93]
 [102]
 [102]]",0.9375
MTL0s1,MTL0.2s3,MTL0.2,3,0.949999988079071,0.95,0.6987499594688416,0.95,1.0,0.95,0.95,0.975,1.0,1.0,0.95,0.975,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 10]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 53]
 [ 25]
 [ 53]
 [ 54]
 [ 54]
 [ 53]
 [ 42]
 [ 53]
 [ 53]
 [ 91]
 [ 91]
 [ 91]
 [ 60]
 [ 84]
 [ 66]
 [ 91]
 [ 70]
 [ 89]
 [ 89]
 [109]
 [109]
 [109]
 [109]
 [109]
 [102]
 [109]
 [109]
 [109]
 [109]]",1.0
MTL0s1,MTL0.2s4,MTL0.2,4,0.975000023841858,0.95,0.6949999928474426,0.975,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 46]
 [ 53]
 [ 46]
 [ 46]
 [ 36]
 [ 48]
 [ 53]
 [ 46]
 [ 46]
 [ 67]
 [ 67]
 [ 67]
 [ 89]
 [ 89]
 [ 91]
 [ 67]
 [ 62]
 [ 91]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]]",1.0
MTL0s1,MTL0.5s0,MTL0.5,0,0.925000011920929,0.925,0.6812499761581421,0.95,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,"[[ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 25]
 [ 20]
 [ 19]
 [ 19]
 [ 19]
 [ 36]
 [ 36]
 [ 36]
 [ 42]
 [ 36]
 [ 53]
 [ 36]
 [ 44]
 [ 53]
 [ 41]
 [ 62]
 [ 67]
 [ 62]
 [ 84]
 [ 84]
 [ 62]
 [ 89]
 [ 62]
 [ 82]
 [109]
 [ 97]
 [109]
 [109]
 [109]
 [112]
 [109]
 [109]
 [109]
 [109]
 [109]]",0.95
MTL0s1,MTL0.5s1,MTL0.5,1,0.925000011920929,0.925,0.699999988079071,0.975,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 20]
 [ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 19]
 [ 20]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 25]
 [ 53]
 [ 53]
 [ 46]
 [ 62]
 [ 67]
 [ 62]
 [ 74]
 [ 62]
 [ 62]
 [ 67]
 [ 62]
 [ 82]
 [ 62]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [ 99]
 [109]
 [109]
 [114]]",0.975
MTL0s1,MTL0.5s2,MTL0.5,2,0.975000023841858,0.975,0.6862499713897705,0.975,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 36]
 [ 25]
 [ 42]
 [ 46]
 [ 36]
 [ 36]
 [ 42]
 [ 36]
 [ 42]
 [ 89]
 [ 89]
 [ 82]
 [ 60]
 [ 60]
 [ 67]
 [ 89]
 [ 82]
 [ 89]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]]",0.975
